"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,          21,      -2.369900636,     0.05236107188,    -0.04043497705,         3.0038833,     -0.3725012113,       5.070449795
          0,           0,          22,       -2.34965973,     0.01762549057,    -0.06273418152,        3.01650842,     -0.3879084842,       5.096700111
          0,           0,          23,       -2.36689001,     0.02764580103,     0.02184902709,       2.977950241,     -0.4349235705,        5.35264563
          0,           0,          24,      -2.331594763,     0.04261482943,    -0.02239525248,       3.011001079,     -0.4184091848,       5.140469235
          0,           0,          25,      -2.328505855,    -0.02292018813,    -0.03114539856,       3.005610796,     -0.1911844617,       5.134286474
          0,           0,          26,      -2.326000886,    -0.03734045183,    -0.04985677218,        3.00703918,     -0.5067899249,       4.863800788
          0,           0,          27,      -2.350534928,      -0.107648887,    -0.07874264215,       2.966836398,     -0.7435301114,       4.878614655
          0,           0,          28,       -2.36448874,     -0.1581093465,     -0.1260642351,       2.940764598,     -0.6764131697,       4.882375212
          0,           0,          29,      -2.369222163,     -0.1543308526,     -0.1255082614,       2.927942881,     -0.5178180389,       4.908660038
          0,           0,          30,      -2.353488094,      -0.143525346,     -0.1570920165,       2.948685973,     -0.2942337099,       4.734658024
          0,           0,          31,      -2.335577866,    -0.04985132366,     -0.1301274928,       2.977010348,    -0.05909479484,        4.73280169
          0,           0,          32,      -2.325013592,      0.0178830645,     -0.1228503611,       3.001225564,    -0.01208383618,        4.76397121
          0,           0,          33,      -2.328526544,     0.02377674171,     -0.1331158192,       3.004330783,     0.09978317498,       4.909721446
          0,           0,          34,      -2.345742907,     0.03839074361,     -0.1196073883,       2.991593465,     -0.5460347973,       4.802451501
          0,           0,          35,      -2.365956853,    -0.04208990054,     -0.1514611514,       2.953585824,     -0.6886051754,       4.768318827
          0,           0,          36,       -2.35495044,    -0.04081524203,      -0.147048715,       2.960882148,     -0.5578441431,       4.791033049
          0,           0,          37,      -2.352941534,    -0.04017839739,     -0.1631513091,        2.95745565,     -0.4134017337,       4.827465956
          0,           0,          38,      -2.348905597,    -0.09020661495,     -0.1605802063,        2.95849131,     -0.3101878962,       4.751754325
          0,           0,          39,      -2.349592222,     -0.1166628065,     -0.1341322684,       2.948182608,      -0.301847739,       4.894805502
          0,           0,          40,      -2.334762113,     -0.1297913922,     -0.0909409647,       2.963821526,       0.072713583,       4.923122389
          0,           0,          41,      -2.338748918,    -0.06726636638,    -0.06963004637,       2.967607747,     -0.2638749048,       4.740523195
          0,           0,          42,      -2.346435069,    -0.09597001898,    -0.09134476667,       2.955092862,     -0.5964344834,       4.784968272
          0,           0,          43,      -2.350737845,     -0.1021856498,     -0.1049474851,       2.948308859,     -0.4305910778,       4.750742282
          0,           0,          44,      -2.355902911,     -0.1444728132,     -0.1207954635,       2.945784546,     -0.2069207185,       4.620543783
          0,           0,          45,      -2.358174953,     -0.0541397573,     -0.1085107673,       2.955449108,     0.02717854686,       4.701913425
          0,           0,          46,      -2.363790754,     0.03951400527,     -0.1150668288,       2.968851841,      0.2057048733,       4.712461158
          0,           0,          47,      -2.392346072,     0.09266317871,     -0.1447497995,       2.975912816,      -0.347728505,       4.754811252
          0,           0,          48,       -2.44780415,    -0.03399325281,     -0.1896486472,       2.898364775,     -0.5462723214,       4.714404776
          0,           0,          49,      -2.456523614,     -0.0474653988,     -0.1974344193,       2.888923415,     -0.4196381723,       4.794070001
          0,           0,          50,      -2.421860223,     0.06828256567,     -0.2222250718,       2.942502605,     -0.2598097929,       4.579275955
          0,           0,          51,      -2.454551126,     0.04006124391,     -0.2143388834,       2.917776132,     -0.1447737419,       4.898706439
          0,           0,          52,      -2.447878903,     0.07034450122,     -0.2548429491,       2.937714747,    -0.06698929193,       4.814632203
          0,           0,          53,      -2.478916695,     0.05006461627,     -0.2539187612,       2.915845607,     -0.1726749844,       4.810859102
