"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega"
529, 5.315447173000000e-01, -5.285205880000000e-02, 2.623298890620974e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.817307275955364e+04, 1.000000000000000e-10, 1.639734029094978e+09
530, 5.345267882000000e-01, -5.255970920000000e-02, 2.620949177479055e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.811714038760994e+04, 1.000000000000000e-10, 1.640379713396831e+09
531, 5.375079829000000e-01, -5.225855670000000e-02, 2.621565139492328e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.810861697852009e+04, 1.000000000000000e-10, 1.639291104476714e+09
532, 5.404882648000000e-01, -5.194849960000000e-02, 2.623045630819716e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.813659997364868e+04, 1.000000000000000e-10, 1.638645349191684e+09
533, 5.434672252000000e-01, -5.162600380000000e-02, 2.634938635107367e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.836831162492133e+04, 1.000000000000000e-10, 1.633430040587878e+09
534, 5.464452645000000e-01, -5.129509310000000e-02, 2.665285573351203e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.896836643012805e+04, 1.000000000000000e-10, 1.620436416176806e+09
535, 5.494232392000000e-01, -5.096360040000000e-02, 2.716800833592465e-01, 0.000000000000000e+00, 0.000000000000000e+00, 4.003593438412379e+04, 1.000000000000000e-10, 1.600335167095844e+09
536, 5.524018620000000e-01, -5.063798680000000e-02, 2.794611462849032e-01, 0.000000000000000e+00, 0.000000000000000e+00, 4.171567221093333e+04, 1.000000000000000e-10, 1.572841644228335e+09
537, 5.553807501000000e-01, -5.031480440000000e-02, 2.911730610126420e-01, 0.000000000000000e+00, 0.000000000000000e+00, 4.427843241134847e+04, 1.000000000000000e-10, 1.533424536038162e+09
538, 5.583590480000000e-01, -4.998623770000000e-02, 3.050379106502711e-01, 0.000000000000000e+00, 0.000000000000000e+00, 4.738319306749666e+04, 1.000000000000000e-10, 1.490142799663335e+09
539, 5.613359734000000e-01, -4.964547060000000e-02, 3.177403951121692e-01, 0.000000000000000e+00, 0.000000000000000e+00, 5.024489080821395e+04, 1.000000000000000e-10, 1.452105841104365e+09
540, 5.643117559000000e-01, -4.929485250000000e-02, 3.263381917933219e-01, 0.000000000000000e+00, 0.000000000000000e+00, 5.216788743718057e+04, 1.000000000000000e-10, 1.426688477450310e+09
541, 5.672864971000000e-01, -4.893550630000000e-02, 3.306604285673930e-01, 0.000000000000000e+00, 0.000000000000000e+00, 5.310175422113304e+04, 1.000000000000000e-10, 1.413381167881581e+09
542, 5.702601725000001e-01, -4.856744460000000e-02, 3.319226357014864e-01, 0.000000000000000e+00, 0.000000000000000e+00, 5.335463035084811e+04, 1.000000000000000e-10, 1.409106761703982e+09
543, 5.732327578000000e-01, -4.819067990000000e-02, 3.319579784357174e-01, 0.000000000000000e+00, 0.000000000000000e+00, 5.333868258190583e+04, 1.000000000000000e-10, 1.408464952456948e+09
544, 5.762042288000000e-01, -4.780522520000000e-02, 3.314469947576786e-01, 0.000000000000000e+00, 0.000000000000000e+00, 5.318261737974286e+04, 1.000000000000000e-10, 1.409010842560099e+09
545, 5.791745615000000e-01, -4.741109350000000e-02, 3.300005063461848e-01, 0.000000000000000e+00, 0.000000000000000e+00, 5.279417151311846e+04, 1.000000000000000e-10, 1.411714119674598e+09
546, 5.821437317000000e-01, -4.700829840000000e-02, 3.276933424620235e-01, 0.000000000000000e+00, 0.000000000000000e+00, 5.218646508561724e+04, 1.000000000000000e-10, 1.416290780496912e+09
547, 5.851117156000000e-01, -4.659685360000000e-02, 3.250613170381147e-01, 0.000000000000000e+00, 0.000000000000000e+00, 5.148916287111490e+04, 1.000000000000000e-10, 1.421366900903415e+09
548, 5.880784894000000e-01, -4.617677290000000e-02, 3.225418899333193e-01, 0.000000000000000e+00, 0.000000000000000e+00, 5.083519454833066e+04, 1.000000000000000e-10, 1.426506750193333e+09
549, 5.910439602000001e-01, -4.574759280000000e-02, 3.209492763282998e-01, 0.000000000000000e+00, 0.000000000000000e+00, 5.038913957806133e+04, 1.000000000000000e-10, 1.428921995925143e+09
550, 5.940076158000001e-01, -4.530605300000000e-02, 3.206209119341537e-01, 0.000000000000000e+00, 0.000000000000000e+00, 5.021224683330884e+04, 1.000000000000000e-10, 1.427434826941122e+09
551, 5.969702442000000e-01, -4.485766250000000e-02, 3.211949465064223e-01, 0.000000000000000e+00, 0.000000000000000e+00, 5.022047189845821e+04, 1.000000000000000e-10, 1.422949070332257e+09
552, 5.999329905000000e-01, -4.441005360000000e-02, 3.217391674108113e-01, 0.000000000000000e+00, 0.000000000000000e+00, 5.022906108820682e+04, 1.000000000000000e-10, 1.418696257160438e+09
553, 6.028966429000000e-01, -4.396848360000000e-02, 3.227350326609497e-01, 0.000000000000000e+00, 0.000000000000000e+00, 5.034798400112696e+04, 1.000000000000000e-10, 1.413465051626272e+09
554, 6.058604630000000e-01, -4.352803920000000e-02, 3.246068120424916e-01, 0.000000000000000e+00, 0.000000000000000e+00, 5.065789356633170e+04, 1.000000000000000e-10, 1.405754358657416e+09
555, 6.088233068000000e-01, -4.308108430000000e-02, 3.277204885904318e-01, 0.000000000000000e+00, 0.000000000000000e+00, 5.124163609752383e+04, 1.000000000000000e-10, 1.394625802163806e+09
556, 6.117840715000000e-01, -4.262056990000000e-02, 3.317423255396903e-01, 0.000000000000000e+00, 0.000000000000000e+00, 5.207480767382378e+04, 1.000000000000000e-10, 1.382256670093094e+09
557, 6.147428891000000e-01, -4.214769180000000e-02, 3.368638242331797e-01, 0.000000000000000e+00, 0.000000000000000e+00, 5.320781545742011e+04, 1.000000000000000e-10, 1.368309048624987e+09
558, 6.177009164000000e-01, -4.166988860000000e-02, 3.438463218628743e-01, 0.000000000000000e+00, 0.000000000000000e+00, 5.476945273332233e+04, 1.000000000000000e-10, 1.349942545598923e+09
559, 6.206593651000000e-01, -4.119470460000000e-02, 3.516639978074269e-01, 0.000000000000000e+00, 0.000000000000000e+00, 5.656469109309511e+04, 1.000000000000000e-10, 1.330694906179761e+09
560, 6.236187181000000e-01, -4.072518330000000e-02, 3.613880977986710e-01, 0.000000000000000e+00, 0.000000000000000e+00, 5.878864475200858e+04, 1.000000000000000e-10, 1.307085188561009e+09
561, 6.265779548000000e-01, -4.025493070000000e-02, 3.744543779875914e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.175610767156601e+04, 1.000000000000000e-10, 1.275859959760368e+09
562, 6.295358580000000e-01, -3.977637300000000e-02, 3.891904157559235e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.515627035028497e+04, 1.000000000000000e-10, 1.242792986171824e+09
563, 6.324917848000000e-01, -3.928575100000000e-02, 4.034844199889491e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.857117914142167e+04, 1.000000000000000e-10, 1.213608270885544e+09
564, 6.354462727000000e-01, -3.878653410000000e-02, 4.176793292617161e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.202164444420936e+04, 1.000000000000000e-10, 1.186334255021478e+09
565, 6.383993153000000e-01, -3.827883870000000e-02, 4.317655220483796e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.542906380059107e+04, 1.000000000000000e-10, 1.159884459805819e+09
566, 6.413507560000000e-01, -3.776191640000000e-02, 4.424231302603776e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.797223477280510e+04, 1.000000000000000e-10, 1.140015368774121e+09
567, 6.443000666000001e-01, -3.723297330000000e-02, 4.468628193849701e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.904275366324298e+04, 1.000000000000000e-10, 1.132036818470180e+09
568, 6.472482997000000e-01, -3.669805020000000e-02, 4.481467198050185e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.928559935145431e+04, 1.000000000000000e-10, 1.128989859745329e+09
569, 6.501967952000000e-01, -3.616457690000000e-02, 4.477093959322611e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.909575268393378e+04, 1.000000000000000e-10, 1.128793518767600e+09
570, 6.531457706000000e-01, -3.563376130000000e-02, 4.455032599232821e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.847337824922336e+04, 1.000000000000000e-10, 1.131667061501124e+09
571, 6.560947461000000e-01, -3.510294570000000e-02, 4.412897365837243e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.738662838864414e+04, 1.000000000000000e-10, 1.138355180921923e+09
572, 6.590437216000000e-01, -3.457213010000000e-02, 4.350681485959987e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.587445591161022e+04, 1.000000000000000e-10, 1.149456696863132e+09
573, 6.619929736000000e-01, -3.404285490000000e-02, 4.303190223244027e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.467376490141725e+04, 1.000000000000000e-10, 1.157451522750556e+09
574, 6.649427455000000e-01, -3.351648340000000e-02, 4.248640246560897e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.331058398020467e+04, 1.000000000000000e-10, 1.166917531495509e+09
575, 6.678917876000000e-01, -3.298604320000000e-02, 4.184776079045356e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.175780617971848e+04, 1.000000000000000e-10, 1.178688045962155e+09
576, 6.708387459000000e-01, -3.244415800000000e-02, 4.124866517511802e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.034200594690039e+04, 1.000000000000000e-10, 1.190440744955525e+09
577, 6.737831424000000e-01, -3.188851370000000e-02, 4.078209003540394e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.923734152063838e+04, 1.000000000000000e-10, 1.199683045793096e+09
578, 6.767261656000000e-01, -3.132563310000000e-02, 4.041275771152557e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.833935387048975e+04, 1.000000000000000e-10, 1.206731666830831e+09
579, 6.796692174000000e-01, -3.076290160000000e-02, 4.006690240057958e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.747861594902593e+04, 1.000000000000000e-10, 1.213072658230335e+09
580, 6.826129130000000e-01, -3.020354650000000e-02, 3.982004320539435e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.686144883889600e+04, 1.000000000000000e-10, 1.217585088928995e+09
581, 6.855566182000000e-01, -2.964424250000000e-02, 3.968238737503288e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.649445560232576e+04, 1.000000000000000e-10, 1.219740168335567e+09
582, 6.885003235000000e-01, -2.908493850000000e-02, 3.964540355714817e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.637387431433337e+04, 1.000000000000000e-10, 1.219993522117777e+09
583, 6.914440287000000e-01, -2.852563450000000e-02, 3.970997532068792e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.649540324119211e+04, 1.000000000000000e-10, 1.218211666060927e+09
584, 6.943877340000000e-01, -2.796633050000000e-02, 3.976721312820093e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.660341049026918e+04, 1.000000000000000e-10, 1.216640686349840e+09
585, 6.973314392000000e-01, -2.740702650000000e-02, 3.981060283976214e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.669658574128847e+04, 1.000000000000000e-10, 1.215621538876387e+09
586, 7.002751444999999e-01, -2.684772250000000e-02, 3.990227067946222e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.691254181238363e+04, 1.000000000000000e-10, 1.213757925375991e+09
587, 7.032188497000000e-01, -2.628841850000000e-02, 4.007957849749936e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.732598739551617e+04, 1.000000000000000e-10, 1.210101446606766e+09
588, 7.061625550000000e-01, -2.572911460000000e-02, 4.023813460573292e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.769450696629789e+04, 1.000000000000000e-10, 1.206874997950649e+09
589, 7.091062603000000e-01, -2.516981060000000e-02, 4.039706557796747e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.806560312875047e+04, 1.000000000000000e-10, 1.203631050455074e+09
590, 7.120499655000000e-01, -2.461050660000000e-02, 4.055270377969288e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.843087881255917e+04, 1.000000000000000e-10, 1.200493453030310e+09
591, 7.149936708000000e-01, -2.405120260000000e-02, 4.071087357490702e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.880571373745162e+04, 1.000000000000000e-10, 1.197368403926204e+09
592, 7.179373760000000e-01, -2.349189860000000e-02, 4.085481207823926e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.915602645021403e+04, 1.000000000000000e-10, 1.194664505100494e+09
593, 7.208810812999999e-01, -2.293259460000000e-02, 4.105409055384825e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.961679607615624e+04, 1.000000000000000e-10, 1.190594105095808e+09
594, 7.238247865000000e-01, -2.237329060000000e-02, 4.122066214545166e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.001199567222795e+04, 1.000000000000000e-10, 1.187347660225302e+09
595, 7.267684918000000e-01, -2.181398660000000e-02, 4.143396639219164e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.051557106317856e+04, 1.000000000000000e-10, 1.183174337017446e+09
596, 7.297121971000000e-01, -2.125468260000000e-02, 4.151277213405104e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.071858267632699e+04, 1.000000000000000e-10, 1.181869646611844e+09
597, 7.326559023000000e-01, -2.069537860000000e-02, 4.169170784543889e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.112445693479318e+04, 1.000000000000000e-10, 1.178165432452539e+09
598, 7.355996076000000e-01, -2.013607460000000e-02, 4.185833357960951e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.149906948794195e+04, 1.000000000000000e-10, 1.174688465814169e+09
599, 7.385433128000000e-01, -1.957677060000000e-02, 4.199087660501703e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.180887998846402e+04, 1.000000000000000e-10, 1.172092672353241e+09
600, 7.414870181000000e-01, -1.901746660000000e-02, 4.211525837171861e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.211511357987978e+04, 1.000000000000000e-10, 1.169869970902944e+09
