"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega"
482, 3.909254052000000e-01, -5.978530220000000e-02, 3.708831981473604e-01, 0.000000000000000e+00, 0.000000000000000e+00, 5.930256744747212e+04, 1.000000000000000e-10, 1.255545353145225e+09
483, 3.939212391000000e-01, -5.972882000000000e-02, 3.749017029499675e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.021187030199938e+04, 1.000000000000000e-10, 1.246702336210164e+09
484, 3.969169262000000e-01, -5.966494890000000e-02, 3.797119216107643e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.127023914812496e+04, 1.000000000000000e-10, 1.235694267641705e+09
485, 3.999126274000000e-01, -5.960175120000000e-02, 3.844297976602975e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.230706866820275e+04, 1.000000000000000e-10, 1.224957445018486e+09
486, 4.029083963000000e-01, -5.954183210000000e-02, 3.898136789294327e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.348574086166896e+04, 1.000000000000000e-10, 1.212907729602835e+09
487, 4.059041653000000e-01, -5.948191670000000e-02, 3.944535970453065e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.453073792865265e+04, 1.000000000000000e-10, 1.203113536750539e+09
488, 4.088999342000000e-01, -5.942200130000000e-02, 3.985150024743229e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.547613450232696e+04, 1.000000000000000e-10, 1.195088788012782e+09
489, 4.118957316000000e-01, -5.936354160000000e-02, 4.016396773763194e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.625275985909026e+04, 1.000000000000000e-10, 1.189680503654050e+09
490, 4.148915900000000e-01, -5.930827980000000e-02, 4.049595247011945e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.705891141419069e+04, 1.000000000000000e-10, 1.183689165351444e+09
491, 4.178873672000000e-01, -5.924882410000000e-02, 4.084051652343344e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.787156574883295e+04, 1.000000000000000e-10, 1.177162472588831e+09
492, 4.208828751000000e-01, -5.917718310000000e-02, 4.108439723579778e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.844905936370445e+04, 1.000000000000000e-10, 1.172629860945184e+09
493, 4.238779996000000e-01, -5.909092720000000e-02, 4.116067903261815e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.867343656944341e+04, 1.000000000000000e-10, 1.171811449570014e+09
494, 4.268729004000000e-01, -5.899717340000000e-02, 4.118538932445977e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.876060444193752e+04, 1.000000000000000e-10, 1.171751748784478e+09
495, 4.298678186000000e-01, -5.890397410000000e-02, 4.117327225680540e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.873726578902989e+04, 1.000000000000000e-10, 1.172053025604560e+09
496, 4.328629246000000e-01, -5.881703720000000e-02, 4.116802648706017e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.870608545954329e+04, 1.000000000000000e-10, 1.171888053392118e+09
497, 4.358580675000000e-01, -5.873136490000000e-02, 4.105749928842807e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.843712745588258e+04, 1.000000000000000e-10, 1.173843476415032e+09
498, 4.388530070000000e-01, -5.863890460000000e-02, 4.090440070723996e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.805544594279643e+04, 1.000000000000000e-10, 1.176422771345250e+09
499, 4.418474723000000e-01, -5.853224060000000e-02, 4.068846358571981e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.754864075471938e+04, 1.000000000000000e-10, 1.180530688532635e+09
500, 4.448414571000000e-01, -5.841278340000000e-02, 4.045779599866623e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.702086203449922e+04, 1.000000000000000e-10, 1.185171830660216e+09
501, 4.478352435000000e-01, -5.828842610000000e-02, 4.024697209571076e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.652948532564974e+04, 1.000000000000000e-10, 1.189287434411742e+09
502, 4.508291556000000e-01, -5.816714900000000e-02, 4.004020380640594e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.604714071801612e+04, 1.000000000000000e-10, 1.193334156238718e+09
503, 4.538232940000000e-01, -5.805158270000000e-02, 3.985564444472554e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.560925803656541e+04, 1.000000000000000e-10, 1.196871437789266e+09
504, 4.568173812000000e-01, -5.793470060000000e-02, 3.970527795790060e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.525130927785575e+04, 1.000000000000000e-10, 1.199729199711204e+09
505, 4.598110864000000e-01, -5.780846580000000e-02, 3.960170620395703e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.501263099032248e+04, 1.000000000000000e-10, 1.201811943039426e+09
506, 4.628041128000000e-01, -5.766705430000000e-02, 3.954104136415956e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.488822928957704e+04, 1.000000000000000e-10, 1.203275982290205e+09
507, 4.657966345000000e-01, -5.751528910000000e-02, 3.952846939631616e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.487405588521494e+04, 1.000000000000000e-10, 1.203754489062578e+09
508, 4.687890375000000e-01, -5.736119260000000e-02, 3.953794415083193e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.491488665798399e+04, 1.000000000000000e-10, 1.203853076880276e+09
509, 4.717816992000000e-01, -5.721221950000000e-02, 3.958891822120461e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.505051466892529e+04, 1.000000000000000e-10, 1.203095919228638e+09
510, 4.747745571000000e-01, -5.706722820000000e-02, 3.966864771721874e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.526306153595669e+04, 1.000000000000000e-10, 1.201906096627186e+09
511, 4.777672246000000e-01, -5.691837390000000e-02, 3.982549553027070e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.564379931456590e+04, 1.000000000000000e-10, 1.199047060146400e+09
512, 4.807592922000000e-01, -5.675795070000000e-02, 3.998063152808057e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.602503641855084e+04, 1.000000000000000e-10, 1.196269784471003e+09
513, 4.837507599000000e-01, -5.658667410000000e-02, 4.017289612734944e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.648285729858247e+04, 1.000000000000000e-10, 1.192600079562317e+09
514, 4.867417038000000e-01, -5.640648100000000e-02, 4.042520561259794e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.706071534462935e+04, 1.000000000000000e-10, 1.187522088892455e+09
515, 4.897320976000000e-01, -5.621737780000000e-02, 4.073465016668200e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.775475084088775e+04, 1.000000000000000e-10, 1.181093818324476e+09
516, 4.927219151000000e-01, -5.601937110000000e-02, 4.109043647141439e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.854925649093927e+04, 1.000000000000000e-10, 1.173684681124828e+09
517, 4.957111300000000e-01, -5.581246800000000e-02, 4.147031510274365e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.941367712158883e+04, 1.000000000000000e-10, 1.166103993259390e+09
518, 4.986997164000000e-01, -5.559667590000000e-02, 4.191764629645421e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.043371457922262e+04, 1.000000000000000e-10, 1.157346572733845e+09
519, 5.016875582000000e-01, -5.537082560000000e-02, 4.240137922198496e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.152886453009759e+04, 1.000000000000000e-10, 1.147859673333963e+09
520, 5.046744459000000e-01, -5.513267300000000e-02, 4.278440050329565e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.242515068448820e+04, 1.000000000000000e-10, 1.140835151191823e+09
521, 5.076609077000001e-01, -5.488922320000000e-02, 4.308201234559075e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.311948395343366e+04, 1.000000000000000e-10, 1.135376521163067e+09
522, 5.106475810000000e-01, -5.464838960000000e-02, 4.321588001184546e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.343883561951063e+04, 1.000000000000000e-10, 1.133006698926871e+09
523, 5.136347221999999e-01, -5.441342690000000e-02, 4.324638686260453e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.349936724107112e+04, 1.000000000000000e-10, 1.132330645686479e+09
524, 5.166218002000000e-01, -5.417766240000000e-02, 4.317594736341003e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.332563944004268e+04, 1.000000000000000e-10, 1.133495025006964e+09
525, 5.196081732000000e-01, -5.393315480000000e-02, 4.296702520892483e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.284624275638825e+04, 1.000000000000000e-10, 1.137422418244902e+09
526, 5.225935011000000e-01, -5.367618930000000e-02, 4.267400516427711e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.217912439838320e+04, 1.000000000000000e-10, 1.143012326545455e+09
527, 5.255780483000000e-01, -5.341030860000000e-02, 4.230830710907998e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.132539433109017e+04, 1.000000000000000e-10, 1.149778302290232e+09
